id,name
0,"Horses, asses, mules and hinnies; live, pure-bred breeding animals"
1,"Horses; live, pure-bred breeding animals"
2,"Horses; live, other than pure-bred breeding animals"
4,"Horses, asses, mules and hinnies; live, other than pure-bred breeding animals"
5,"Bovine animals; live, pure-bred breeding animals"
6,"Cattle; live, pure-bred breeding animals"
7,"Cattle; live, other than pure-bred breeding animals"
8,"Buffalo; live, pure-bred breeding animals"
9,"Buffalo; live, other than pure-bred breeding animals"
10,"Bovine animals; live, other than pure-bred breeding animals"
11,"Swine; live, pure-bred breeding animals"
12,"Swine; live, (other than pure-bred breeding animals), weighing less than 50kg"
13,"Swine; live, (other than pure-bred breeding animals), weighing 50kg or more"
16,"Poultry; live, fowls of the species gallus domesticus, weighing not more than 185g"
17,"Poultry; live, weighing not more than 185g, turkeys"
18,"Poultry; live, ducks, weighing not more than 185g"
19,"Poultry; live, geese, weighing not more than 185g"
20,"Poultry; live, guinea fowls, weighing not more than 185g"
21,"Poultry; live, weighing not more than 185g, ducks, geese, turkeys and guinea fowls"
22,"Poultry; live, fowls of the species gallus domesticus, weighing more than 185g"
23,"Poultry; live, weighing over 185g but not more than 2000g, fowls of the species gallus domesticus"
24,"Poultry; live, weighing over 2000g, fowls of the species gallus domesticus"
25,"Poultry; live, ducks, geese, turkeys and guinea fowls, weighing more than 185g"
26,"Mammals; live, camels and other camelids (Camelidae)"
27,"Mammals; live, rabbits and hares"
28,"Mammals; live, other than primates, whales, dolphins and porpoises (order Cetacea), manatees and dugongs (order Sirenia)"
29,"Birds; live, ostriches; emus (Dromaius novaehollandiae)"
30,"Animals; live, birds, other than birds of prey and Psittaciformes"
31,"Insects; live, bees"
32,"Insects; live, other than bees"
33,"Animals; live, n.e.c. in chapter 01, other than mammals, reptiles and birds"
34,"Meat; of bovine animals, carcasses and half-carcasses, fresh or chilled"
35,"Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled"
36,"Meat; of bovine animals, boneless cuts, fresh or chilled"
37,"Meat; of bovine animals, carcasses and half-carcasses, frozen"
38,"Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), frozen"
39,"Meat; of bovine animals, boneless cuts, frozen"
40,"Meat; of swine, carcasses and half-carcasses, fresh or chilled"
41,"Meat; of swine, hams, shoulders and cuts thereof, with bone in, fresh or chilled"
42,"Meat; of swine, n.e.s. in item no. 0203.1, fresh or chilled"
43,"Meat; of swine, carcasses and half-carcasses, frozen"
44,"Meat; of swine, hams, shoulders and cuts thereof, with bone in, frozen"
45,"Meat; of swine, n.e.s. in item no. 0203.2, frozen"
46,"Meat; of sheep, lamb carcasses and half-carcasses, fresh or chilled"
47,"Meat; of sheep, carcasses and half-carcasses (excluding carcasses and half-carcasses of lamb), fresh or chilled"
48,"Meat; of sheep (including lamb), cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled"
49,"Meat; of sheep (including lamb), boneless cuts, fresh or chilled"
50,"Meat; of sheep, lamb carcasses and half-carcasses, frozen"
51,"Meat; of sheep, carcasses and half-carcasses (excluding carcasses and half-carcasses of lamb), frozen"
52,"Meat; of sheep (including lamb), cuts with bone in (excluding carcasses and half-carcasses), frozen"
53,"Meat; of sheep (including lamb), boneless cuts, frozen"
55,"Meat; of horses, asses, mules or hinnies, fresh, chilled or frozen"
56,"Offal, edible; of bovine animals, fresh or chilled"
57,"Offal, edible; of bovine animals, tongues, frozen"
58,"Offal, edible; of bovine animals, livers, frozen"
59,"Offal, edible; of bovine animals, (other than tongues and livers), frozen"
60,"Offal, edible; of swine, fresh or chilled"
61,"Offal, edible; of swine, livers, frozen"
62,"Offal, edible; of swine, (other than livers), frozen"
63,"Offal, edible; of sheep, goats, horses, asses, mules or hinnies, fresh or chilled"
64,"Offal, edible; of sheep, goats, horses, asses, mules or hinnies, frozen"
65,"Meat and edible offal; of the poultry of heading no. 0105, of fowls of the species gallus domesticus, (not cut in pieces), fresh or chilled"
66,"Meat and edible offal; of the poultry of heading no. 0105, of fowls of the species gallus domesticus, (not cut in pieces), frozen"
67,"Meat and edible offal; of the poultry of heading no. 0105, of fowls of the species gallus domesticus, cuts and offal, fresh or chilled"
68,"Meat and edible offal; of the poultry of heading no. 0105, of fowls of the species gallus domesticus, cuts and offal, frozen"
69,"Meat and edible offal; turkeys, not cut in pieces, frozen"
70,"Meat and edible offal; of the poultry of heading no. 0105, of turkeys, (not cut in pieces), fresh or chilled"
71,"Meat and edible offal; of the poultry of heading no. 0105, of turkeys, cuts and offal, fresh or chilled"
72,"Meat and edible offal; of the poultry of heading no. 0105, of turkeys, cuts and offal, frozen"
73,"Offal, edible; of geese or ducks, fatty livers, fresh or chilled"
74,"Meat and edible offal; of the poultry of heading no. 0105, of ducks, geese or guinea fowls, (not cut in pieces), fresh or chilled"
75,"Meat and edible offal; of the poultry of heading no. 0105, of ducks, geese or guinea fowls, (not cut in pieces), frozen"
76,"Meat and edible offal; of the poultry of heading no. 0105, of ducks, geese or guinea fowls, fresh or chilled, poultry cuts or offal (excluding fatty livers)"
77,"Meat and edible offal; of the poultry of heading no. 0105, of ducks, geese or guinea fowls, frozen"
78,"Meat and edible offal; of fowls of the species gallus domesticus, poultry cuts and offal (excluding livers), frozen"
79,"Meat and edible offal; of turkeys, poultry cuts and offal (excluding livers), frozen"
80,"Meat and edible offal; of ducks, geese or guinea fowls, poultry cuts and offal (excluding livers) frozen"
81,"Meat and edible offal; of ducks, cuts and offal, excluding fatty livers, fresh or chilled"
82,"Meat and edible offal; of ducks, cuts and offal, excluding fatty livers, frozen"
83,"Meat and edible offal; of geese, not cut in pieces, fresh or chilled"
84,"Meat and edible offal; of geese, not cut in pieces, frozen"
85,"Meat and edible offal; of geese, cuts and offal, excluding fatty livers, fresh or chilled"
86,"Meat and edible offal; of geese, cuts and offal, excluding fatty livers, frozen"
87,"Meat and edible offal; of guinea fowls, fresh, chilled or frozen"
89,"Meat and edible meat offal; of whales, dolphins and porpoises (mammals of the order Cetacea) and manatees and dugongs (mammals of the order Sirenia), fresh, chilled or frozen"
91,"Meat and edible meat offal; n.e.s. in chapter 2, fresh, chilled or frozen"
92,"Fat; pig fat, free of lean meat, and poultry fat, (not rendered), fresh, chilled, frozen, salted, in brine, dried or smoked"
93,"Fat; pig fat, free of lean meat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked"
94,"Fat; poultry fat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked"
95,"Meat, preserved; of swine, hams, shoulders and cuts thereof, with bone in, salted, in brine, dried or smoked"
96,"Meat, preserved; of swine, bellies (streaky) and cuts thereof, salted, in brine, dried or smoked"
97,"Meat, preserved; of swine, salted, in brine, dried or smoked, n.e.s. in item no. 0210.1"
98,"Meat, preserved; of bovine animals, salted, in brine, dried or smoked"
99,"Meat and edible meat offal, preserved; salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal, other than of primates,whales, dolphins and porpoises, manatees and dugongs, reptiles (including snakes and turtles)"
100,"Fish; live, trout (salmo trutta, salmo gairdneri, salmo clarki, salmo aguabonita, salmo gilae)"
101,"Fish; live, eels (anguilla spp.)"
102,"Fish; live, carp"
103,"Fish; live, bluefin tunas (Thunnus thynnus)"
104,"Fish; live, southern bluefin tunas (Thunnus maccoyii)"
105,"Fish; trout (salmo trutta, salmo gairdneri, salmo clarki, salmo aguabonita, salmo gilae), fresh or chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)"
